Modelo,usuarios_avaliados,Precision@10,Recall@10,HitRate@10,NDCG@10,MAP@10,Coverage,protocolo
SVD,300,0.02033333333333334,0.08787037037037036,0.14666666666666667,0.07424639579163461,0.055653174603174614,0.11921744446708783,"amostrado, até 2000 candidatos por usuário"
KNN item-item,300,0.062000000000000006,0.26318302068302063,0.4066666666666667,0.2953357178702864,0.26347089947089947,0.2221316486651722,"amostrado, até 2000 candidatos por usuário"
