UserId,relevantes_teste,hits,Precision@10,Recall@10,HitRate@10,NDCG@10,MAP@10,candidatos_avaliados
A3MJ1OH04JQNQF,1,0,0.0,0.0,0.0,0.0,0.0,2000
A230IB6KZBNHZY,2,1,0.1,0.5,1.0,0.6131471927654584,0.5,2000
A28ZMM01UZ44LR,3,3,0.3,1.0,1.0,1.0,1.0,2000
A2VRAT69JDAD3W,2,0,0.0,0.0,0.0,0.0,0.0,2000
A1XW8RSRNDA3HR,3,1,0.1,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,2000
AF03A958JD9GO,3,2,0.2,0.6666666666666666,1.0,0.7653606369886217,0.6666666666666666,2000
A4XQ04F3KY20W,4,4,0.4,1.0,1.0,1.0,1.0,2000
AZIL8WXENJONI,4,0,0.0,0.0,0.0,0.0,0.0,2000
A56SHVW3WRHNG,5,2,0.2,0.4,1.0,0.5531464700081437,0.4,2000
ATX6XZZXMX5JY,2,1,0.1,0.5,1.0,0.6131471927654584,0.5,2000
A3OSEN3UPE7369,1,0,0.0,0.0,0.0,0.0,0.0,2000
AXVOF5XBDID03,1,0,0.0,0.0,0.0,0.0,0.0,2000
A2VGNVADEXISCQ,1,0,0.0,0.0,0.0,0.0,0.0,2000
A81XIM8XFKWX5,1,0,0.0,0.0,0.0,0.0,0.0,2000
A1E4HX9MGQRL2S,2,1,0.1,0.5,1.0,0.6131471927654584,0.5,2000
A2DXE88UZILCSH,1,0,0.0,0.0,0.0,0.0,0.0,2000
A3KSW8H581XS0N,2,0,0.0,0.0,0.0,0.0,0.0,2000
AWZ1C2FT0L3W9,1,0,0.0,0.0,0.0,0.0,0.0,2000
A2YJG317V45G33,2,0,0.0,0.0,0.0,0.0,0.0,2000
AM2WKUD1MX49L,2,0,0.0,0.0,0.0,0.0,0.0,2000
A2A9X58G2GTBLP,3,0,0.0,0.0,0.0,0.0,0.0,2000
A3UCN2RGY7O6S1,4,3,0.3,0.75,1.0,0.8318724637288826,0.75,2000
A3DRQ4YNZHVOZT,2,2,0.2,1.0,1.0,1.0,1.0,2000
A3AMVMC7J8F9VZ,2,2,0.2,1.0,1.0,1.0,1.0,2000
A1SXCWI4UGSHS4,2,1,0.1,0.5,1.0,0.6131471927654584,0.5,2000
A1PDYQZUEM9L9G,1,0,0.0,0.0,0.0,0.0,0.0,2000
A1ZQDNKY34BLNR,1,1,0.1,1.0,1.0,1.0,1.0,2000
A2WC9NFLG57W4H,2,0,0.0,0.0,0.0,0.0,0.0,2000
A2XAQOWHRPY98K,1,0,0.0,0.0,0.0,0.0,0.0,2000
A3QNQQKJTL76H0,10,0,0.0,0.0,0.0,0.0,0.0,2000
A31YSTICHFYN7O,3,0,0.0,0.0,0.0,0.0,0.0,2000
A3AZI828WJN1CD,4,1,0.1,0.25,1.0,0.3903800499921017,0.25,2000
AGV6IFM1ICPDH,4,2,0.2,0.5,1.0,0.6366824387328317,0.5,2000
A21TVV32ZBU6CB,4,3,0.3,0.75,1.0,0.8318724637288826,0.75,2000
A1TP2RW7KDI5AZ,2,0,0.0,0.0,0.0,0.0,0.0,2000
A2NB2E5DXE319Z,1,0,0.0,0.0,0.0,0.0,0.0,2000
APQW7SKEMU355,1,0,0.0,0.0,0.0,0.0,0.0,2000
A4SD8F79JBYG2,2,0,0.0,0.0,0.0,0.0,0.0,2000
A3JUHP1E3WUHEA,1,0,0.0,0.0,0.0,0.0,0.0,2000
A3T1O6VEKRUM0X,3,1,0.1,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,2000
AN5UJ0QX6M5YQ,1,0,0.0,0.0,0.0,0.0,0.0,2000
A35V32HZEGZH04,1,1,0.1,1.0,1.0,1.0,1.0,2000
A392C5HHFXG7YE,1,0,0.0,0.0,0.0,0.0,0.0,2000
A1QEN7JPC06P81,1,0,0.0,0.0,0.0,0.0,0.0,2000
AIBRTGBN07D6A,4,0,0.0,0.0,0.0,0.0,0.0,2000
A3H5AGU8ZTYP0M,1,0,0.0,0.0,0.0,0.0,0.0,2000
A35MR3TY7AKZV8,3,2,0.2,0.6666666666666666,1.0,0.7653606369886217,0.6666666666666666,2000
AK7CAW3N1XZV6,8,0,0.0,0.0,0.0,0.0,0.0,2000
A2ALRZ0ENQLYY5,3,2,0.2,0.6666666666666666,1.0,0.7653606369886217,0.6666666666666666,2000
A28XUTNVJC1EZN,1,0,0.0,0.0,0.0,0.0,0.0,2000
A23UW1116PTM1Q,1,0,0.0,0.0,0.0,0.0,0.0,2000
A3IB4KSHNHTDYS,4,1,0.1,0.25,1.0,0.3903800499921017,0.25,2000
A3MDETK0D5UAIN,1,0,0.0,0.0,0.0,0.0,0.0,2000
A2X01RNZ2POM6D,1,0,0.0,0.0,0.0,0.0,0.0,2000
AKFZ49X1UW124,1,0,0.0,0.0,0.0,0.0,0.0,2000
A3I8UIGONU4GG9,1,0,0.0,0.0,0.0,0.0,0.0,2000
A1H8JUI9GNQKNR,1,0,0.0,0.0,0.0,0.0,0.0,2000
A2CNEQ7K9YE531,4,0,0.0,0.0,0.0,0.0,0.0,2000
A1T1KWRVT5X70A,4,0,0.0,0.0,0.0,0.0,0.0,2000
A5VG8AHRUWGDZ,1,1,0.1,1.0,1.0,1.0,1.0,2000
A1WH5J3AP5JR7H,1,0,0.0,0.0,0.0,0.0,0.0,2000
A3NN93FJ4C0H2E,1,0,0.0,0.0,0.0,0.0,0.0,2000
A3NUDSXY4NL9JX,1,0,0.0,0.0,0.0,0.0,0.0,2000
A2HMPBBQ3A70G2,3,1,0.1,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,2000
A3QXDQF5L6XOTS,1,0,0.0,0.0,0.0,0.0,0.0,2000
