Modelo,RMSE,MAE,MSE,R2,Acuracia,Acuracia_balanceada,Precisao,Recall,F1,ROC_AUC
SVD,0.7298093110684806,0.498507412880691,0.5326216305222502,0.6529363333866915,0.8602317989877512,0.8624956200773478,0.9573754995058652,0.8584142394822006,0.9051981555587154,0.9417089890780974
Baseline,0.9575592945217674,0.740892492428672,0.9169198025250248,0.40252229647028615,0.8297145937528076,0.8168097804126232,0.9342330762639246,0.8400755124056095,0.8846559558584876,0.8976770942248445
KNN item-item,0.6111964161101733,0.3018008879360593,0.3735610590659201,0.7565824152949928,0.8534934563205654,0.8671347678234222,0.9644967804533827,0.8425412236091848,0.8994036602920008,0.9471157490359506
